"object link","text"
"https://pec.ac.in/sites/default/files/uploads/form_nomination_pec.pdf","Form for Nominations"
"https://pec.ac.in/sites/default/files/uploads/proforma_ltc_pec.pdf","Proforma for L.T.C"
"https://pec.ac.in/sites/default/files/uploads/Proforma-SCL-PL.pdf","Application form for Special Casual Leave/ Project Leave"
"https://pec.ac.in/sites/default/files/uploads/group_c_4-9-19.pdf","Gropup C"
"https://pec.ac.in/sites/default/files/uploads/group_d_4-9-19.pdf","Group D"
"https://pec.ac.in/sites/default/files/uploads/medium_instructions_certificate_14-2-2020.pdf","Medium of Instructions Certificate"
"https://pec.ac.in/sites/default/files/uploads/consolidated_grades_certificate_14-2-2020.pdf","Consolidated Grades Sheet Certificate"
"https://pec.ac.in/sites/default/files/uploads/certificate_btech_2019.pdf","Certificate for BE/B.Tech. Final Year Students"
"https://pec.ac.in/sites/default/files/uploads/percentage_conversion_certificate_14-2-2020.pdf","Percentage Conversion Certificate"
"https://pec.ac.in/sites/default/files/uploads/internship_pec_other.pdf","Internship of Students of Other Institutes at PEC"
"https://pec.ac.in/sites/default/files/uploads/cas_2018_notice.pdf","CAS 2018 Notice"
"https://pec.ac.in/sites/default/files/uploads/pbas_performa_2018.doc","PBAS Performa as per UGC 2018"
"https://pec.ac.in/sites/default/files/uploads/cas_18_nai.pdf","CAS-2018 Public Notice on Academic Integrity"
"https://pec.ac.in/sites/default/files/uploads/cas_2018_notice_past_service.pdf","Counting of past service for CAS-2018"
"https://pec.ac.in/sites/default/files/uploads/pec_gst_custom_duty_certificate.pdf","Custom and GST Exemption Certificate"
"https://pec.ac.in/sites/default/files/uploads/TA-RULES.pdf","TA/DA rules"
"https://pec.ac.in/sites/default/files/uploads/hiring_taxi_30-7-20.pdf","Empanelment of Vendors for Providing Taxi Services"
"https://pec.ac.in/sites/default/files/uploads/Central-board-of-excise-and-customs.pdf","Service Tax No."
"https://pec.ac.in/sites/default/files/uploads/Chief-commissioner-of-income-tax.pdf","Educational Institute"
"https://pec.ac.in/sites/default/files/uploads/Income-tax-pan-services-unit.pdf","PAN/TAN"
"https://pec.ac.in/sites/default/files/uploads/Certificate-of-Registration.pdf","Custom Duty Exemption Certificate"
